uid,campaign,max_exposure,total_clicks,first_click,early_ctr,later_ctr,ctr_decline,fatigued,campaign_overall_ctr,campaign_total_impressions,hour_of_day,day_of_week,ctr_tier,fatigue_risk,risk_tier
2591,15398570,6,0,0,0.0,0.0,0.0,0,0.3327908089995213,10445,9,1,Medium CTR,0.097457774,Low Risk
3283,26852339,18,4,0,0.5,0.1875,0.3125,1,0.202249938860357,4089,11,4,Low CTR,0.13389876,Low Risk
7837,14661605,6,3,0,0.5,0.5,0.0,0,0.3218811602365531,3551,7,4,Medium CTR,0.12511636,Low Risk
13544,13947793,18,14,0,0.5,0.8125,-0.3125,0,0.3475298126064736,587,19,5,Medium CTR,0.13618098,Low Risk
15429,24267774,5,3,1,0.5,0.6666666666666666,-0.16666666666666663,0,0.3962264150943396,265,11,6,High CTR,0.37206668,Medium Risk
16313,15398570,14,9,1,1.0,0.5833333333333334,0.41666666666666663,0,0.3327908089995213,10445,10,2,Medium CTR,0.32825518,Medium Risk
16454,25998432,7,3,0,0.5,0.4,0.09999999999999998,0,0.344311377245509,1336,19,5,Medium CTR,0.12703384,Low Risk
16548,7061828,11,3,1,0.5,0.2222222222222222,0.2777777777777778,1,0.2826506024096386,4150,13,6,Low CTR,0.45816386,Medium Risk
17861,30801593,5,1,0,0.5,0.0,0.5,1,0.3822437910362546,14012,0,3,High CTR,0.2691796,Low Risk
18720,20717215,6,0,0,0.0,0.0,0.0,0,0.320855614973262,374,10,0,Medium CTR,0.07953072,Low Risk
26524,25998432,6,1,0,0.0,0.25,-0.25,0,0.344311377245509,1336,18,1,Medium CTR,0.11363486,Low Risk
27796,17661711,10,0,0,0.0,0.0,0.0,0,0.3435114503816794,131,4,0,Medium CTR,0.06015428,Low Risk
27901,15398570,5,3,0,0.5,0.6666666666666666,-0.16666666666666663,0,0.3327908089995213,10445,15,0,Medium CTR,0.08029681,Low Risk
31746,2390251,10,8,1,1.0,0.75,0.25,0,0.2702915681639086,1269,4,3,Low CTR,0.5099593,High Risk
32794,24936122,6,2,1,0.5,0.25,0.25,0,0.1538461538461538,91,7,6,Low CTR,0.6786587,High Risk
33582,497593,8,1,0,0.0,0.16666666666666666,-0.16666666666666666,0,0.3965014577259475,5831,5,0,High CTR,0.12628667,Low Risk
35227,13365547,5,4,0,0.5,1.0,-0.5,0,0.6735985533453888,1106,10,4,High CTR,0.08652799,Low Risk
38148,5177431,16,10,0,0.5,0.6428571428571429,-0.1428571428571429,0,0.2901554404145077,579,16,1,Low CTR,0.1510922,Low Risk
